ADDRESS,SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,NEAREST_SCH_RANK
10 Marlock Place,Woodlands,1180000,4,2,4,845,196,1965,8300,Stirling Station,1700,"09-2018",6018,-31.90463518,115.7911471,HALE SCHOOL,1.1021078532195328,6
10 Maroubra Parade,Secret Harbour,343000,3,2,2,612,155,2004,51000,Warnbro Station,8600,"06-2019",6173,-32.4034,115.767819,COMET BAY COLLEGE,1.452148834758644,35
10 Marra Way,South Lake,535000,4,2,2,548,196,2008,18100,Cockburn Central Station,1700,"03-2016",6164,-32.114844,115.845273,LAKELAND SENIOR HIGH SCHOOL,0.6467170880706069,
10 Marsh Court,Jarrahdale,817000,4,2,3,21038,306,2006,44400,Armadale Station,19000,"12-2020",6124,-32.32422,116.02771,COURT GRAMMAR SCHOOL,6.968708616917627,
10 Marshwood Place,Sawyers Valley,385000,7,2,2,19996,159,1989,34000,Midland Station,20000,"01-2006",6074,-31.8931,116.21201,EASTERN HILLS SENIOR HIGH SCHOOL,2.2607019935464883,105
10 Martini Way,Tapping,480000,4,2,2,574,197,2006,25700,Joondalup Station,3900,"06-2019",6065,-31.72663343,115.8025165,JOSEPH BANKS SECONDARY COLLEGE,3.1600473896437133,92
10 Mary Street,Highgate,865000,5,1,NULL,409,125,1920,1900,East Perth Station,1000,"03-2019",6003,-31.93789,115.86896,PERTH COLLEGE,0.9675632948345342,9
10 Mary Street,Watermans Bay,1700000,5,4,2,440,355,2009,15300,Warwick Station,4100,"12-2016",6020,-31.84862921,115.7530415,CARINE SENIOR HIGH SCHOOL,2.208885577011285,47
10 Massenger Street,Madeley,645000,4,2,2,576,239,2005,15900,Greenwood Station,4200,"05-2019",6065,-31.81155,115.82687,KINGSWAY CHRISTIAN COLLEGE,0.9957291891796572,50
10 Maverick Promenade,Shoalwater,420000,4,2,2,553,162,NULL,40400,Rockingham Station,4000,"04-2017",6169,-32.295409,115.719663,ROCKINGHAM SENIOR HIGH SCHOOL,1.8910700265514475,
10 McGuigan Circle,Redcliffe,465000,3,2,2,488,165,NULL,8700,Bassendean Station,5300,"03-2019",6104,-31.9514,115.95068,BELMONT CITY COLLEGE,1.7449723343727366,57
10 Mckenna Drive,Cardup,760000,4,2,3,20439,240,2007,34200,Kwinana Station,10500,"04-2020",6122,-32.24781178,115.9534751,COURT GRAMMAR SCHOOL,4.306995434833969,
10 McKeon Street,Redcliffe,420000,4,2,2,530,135,1991,7900,Ashfield Station,3300,"03-2018",6104,-31.94177,115.94134,BELMONT CITY COLLEGE,2.0128421651593906,57
10 McLeod Street,Lockridge,365000,4,2,1,443,151,1996,11400,Success Hill Station,1700,"09-2016",6054,-31.88544,115.95,KIARA COLLEGE,1.664476616044076,
10 McNeil Grove,Jarrahdale,405000,5,2,4,928,168,1999,47200,Armadale Station,21100,"06-2016",6124,-32.33793,116.06742,COURT GRAMMAR SCHOOL,10.435812889410181,
10 Meadow Lane,Parkerville,635000,4,2,NULL,1851,207,1990,28500,Midland Station,13900,"04-2014",6081,-31.87204,116.14582,MUNDARING CHRISTIAN COLLEGE,4.401783853600649,
10 Meath Mews,Mosman Park,810000,4,2,2,431,220,1997,11800,Vic,1100,"08-2019",6012,-32.01971,115.76202,IONA PRESENTATION COLLEGE,1.3557048126815814,17
10 Meek Court,Gosnells,260000,4,2,1,958,156,1989,19100,Seaforth Station,2300,"05-2019",6110,-32.08493,115.98723,SOUTHERN RIVER COLLEGE,0.6930744262615108,121
10 Melbourne Close,Port Kennedy,291000,4,2,2,517,143,1995,47800,Warnbro Station,5300,"07-2018",6172,-32.37284,115.75442,WARNBRO COMMUNITY HIGH SCHOOL,3.0649803116143577,
10 Meredith Way,Koondoola,355000,3,1,4,690,105,1978,11600,Warwick Station,6700,"05-2016",6064,-31.84804,115.86697,MERCY COLLEGE,0.8939463477937002,46
10 Merens Terrace,Henley Brook,585000,4,2,2,640,264,2003,20200,East Guildford Station,10600,"09-2012",6055,-31.80104,115.97735,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,1.0682569251333491,53
10 Messenger Street,Kelmscott,222500,3,1,1,1139,139,1970,24600,Challis Station,417,"11-2019",6111,-32.12969957,116.0133788,SOWILO COMMUNITY HIGH SCHOOL,0.36770803494945725,
10 Midlothian Crescent,Kinross,475000,4,2,2,519,157,1998,29200,Clarkson Station,2400,"01-2018",6028,-31.71224,115.73364,YOUTH FUTURES COMMUNITY SCHOOL,2.6892438925091997,
10 Midsummer Avenue,Jindalee,600000,4,2,2,460,221,2015,39100,Butler Station,1300,"02-2016",6036,-31.63243163,115.6867658,BUTLER COLLEGE,2.98169710711625,39
10 Midway Street,Riverton,570000,3,1,1,344,174,1976,9900,Welshpool Station,4700,"06-2017",6148,-32.0335,115.90198,LYNWOOD SENIOR HIGH SCHOOL,1.6293698946004922,96
10 Millenden Street,East Fremantle,1175000,4,2,2,620,226,1999,12700,North Fremantle Station,2500,"10-2017",6158,-32.04054023,115.7754427,JOHN CURTIN COLLEGE OF THE ARTS,2.0232621495385836,25
10 Miller Place,Booragoon,930000,4,2,2,695,215,1982,9900,Bull Creek Station,2100,"11-2017",6154,-32.03877,115.83376,APPLECROSS SENIOR HIGH SCHOOL,1.0523921051534912,34
10 Millstream Drive,Sawyers Valley,520000,4,2,2,4551,225,2000,33900,Midland Station,20100,"06-2006",6074,-31.90183,116.21276,MUNDARING CHRISTIAN COLLEGE,3.0878778561512616,
10 Milos Loop,Spearwood,590000,4,2,2,658,230,1999,19400,Cockburn Central Station,7400,"08-2020",6163,-32.11367,115.78151,PORT SCHOOL,3.424390349750615,
10 Miltona Drive,Secret Harbour,491000,4,2,2,599,208,NULL,51300,Warnbro Station,9000,"12-2020",6173,-32.40718658,115.7701847,COMET BAY COLLEGE,1.1722707715494562,35
10 Mimbalup Close,Hillman,295000,3,1,2,798,96,1974,37700,Rockingham Station,1000,"04-2015",6168,-32.28114,115.76163,KOLBE CATHOLIC COLLEGE,0.7316705301200813,97
10 Moira Mews,Stratton,375000,3,1,1,448,111,1995,19900,Midland Station,5000,"03-2015",6056,-31.86334,116.04162,SWAN VIEW SENIOR HIGH SCHOOL,2.6972637794810703,
10 Monaco Avenue,North Lake,630000,4,2,3,727,200,1990,14500,Murdoch Station,3100,"04-2017",6163,-32.07803,115.82077,NORTH LAKE SENIOR CAMPUS,0.8320214822839445,
10 Monaro Way,Hocking,510000,3,2,2,549,158,2003,20200,Edgewater Station,4000,"03-2017",6065,-31.7733053,115.8213022,ALTA-1,1.540143176622152,
10 Monota Avenue,Shelley,720000,3,2,2,389,135,2004,8900,Canning Bridge Station,3500,"03-2017",6148,-32.02886344,115.8860292,CLONTARF ABORIGINAL COLLEGE,1.6084819517470825,
10 Monroe Turn,Success,515000,4,2,2,612,210,2004,21600,Cockburn Central Station,2400,"08-2018",6164,-32.14677,115.85817,ATWELL COLLEGE,0.6439666701270645,129
10 Moorhouse Street,Willagee,533000,3,1,2,756,129,1960,11500,Bull Creek Station,3900,"07-2017",6156,-32.04776,115.81322,MELVILLE SENIOR HIGH SCHOOL,0.74902835838176,61
10 Moyle Place,Hillarys,1330000,1,1,2,659,322,2014,18200,Greenwood Station,2500,"09-2020",6025,-31.81414524,115.7566602,DUNCRAIG SENIOR HIGH SCHOOL,1.3131734498507592,32
10 Murry Mews,Leda,260000,3,1,2,595,156,NULL,34500,Wellard Station,984,"09-2014",6170,-32.25947,115.80816,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,0.6877129688277531,
10 Myrtle Street,Walliston,408000,2,1,2,1021,98,1970,20400,Madding,9900,"10-2006",6076,-31.99876,116.06821,ST BRIGID'S COLLEGE,1.5411493280599857,99
10 Nankeen Elbow,Beeliar,458000,3,2,2,360,153,NULL,20400,Cockburn Central Station,4200,"03-2017",6164,-32.13150584,115.8147561,DIVINE MERCY COLLEGE,1.2399877363664453,
10 Napier Place,Brookdale,375000,3,1,2,947,99,1989,26700,Armadale Station,1800,"07-2015",6112,-32.16174,115.99686,DALE CHRISTIAN SCHOOL,0.3213820187306159,
10 Naree Road,Wilson,690000,3,1,NULL,860,270,1966,9700,Queens Park Station,1700,"12-2016",6107,-32.01807,115.92537,SEVENOAKS SENIOR COLLEGE,1.713989639124493,114
10 Narrien Loop,Hocking,532000,4,2,2,630,203,2003,20200,Edgewater Station,4200,"10-2017",6065,-31.77342,115.82255,ALTA-1,1.590641917100292,
10 Narrier Close,South Guildford,510000,4,2,2,546,165,2000,12400,East Guildford Station,2300,"04-2015",6055,-31.91661,115.98386,GUILDFORD GRAMMAR SCHOOL,2.5177693913525747,52
10 Nathaniel Way,Orelia,225000,3,1,1,731,131,1969,31500,Kwinana Station,2300,"10-2020",6167,-32.23274,115.8182,GILMORE COLLEGE,0.6927849094336352,138
10 Navigator Drive,Singleton,380000,4,2,4,580,155,2000,55400,Mandurah Station,9500,"07-2015",6175,-32.44228,115.75699,COMET BAY COLLEGE,2.998350770799722,35
10 Newcomen Road,Stirling,760000,4,2,2,510,210,1998,8100,Stirling Station,681,"12-2017",6021,-31.89147,115.81128,BALCATTA SENIOR HIGH SCHOOL,1.7767609441284968,135
10 Newell Place,Cooloongup,137500,3,1,NULL,685,155,1978,40200,Rockingham Station,1600,"11-2016",6168,-32.3017,115.75163,SAFETY BAY SENIOR HIGH SCHOOL,1.0181635103127464,136
10 Nolan Crescent,Gwelup,1030000,4,2,2,491,220,NULL,11100,Warwick Station,2600,"10-2018",6018,-31.86813666,115.7965122,BALCATTA SENIOR HIGH SCHOOL,1.6976154109258323,135
10 Noonan Court,Willetton,550000,3,3,2,742,168,1981,11600,Thornlie Station,4600,"02-2020",6155,-32.04921,115.90385,ONESCHOOL GLOBAL WA,0.8399347336706624,
10 Norman Street,Bellevue,280000,3,1,1,751,93,1953,17500,Midland Station,3100,"10-2014",6056,-31.89778,116.03311,SWAN VIEW SENIOR HIGH SCHOOL,1.560821470937099,
10 Norrie Court,Koondoola,380000,3,1,2,692,125,1976,12500,Warwick Station,5800,"11-2016",6064,-31.84015,115.85723,MERCY COLLEGE,0.790453154501405,46
10 North Lake Road,Alfred Cove,550000,3,2,2,1013,135,1930,9800,Bull Creek Station,3900,"11-2018",6154,-32.03259693,115.815911,MELVILLE SENIOR HIGH SCHOOL,1.815969065298414,61
10 Nunney Road,Orelia,375000,4,2,2,560,140,2004,31000,Kwinana Station,1900,"04-2016",6167,-32.22878,115.82369,GILMORE COLLEGE,1.3462702100677422,138
10 Oakbank Crescent,Butler,550000,4,2,2,595,226,2013,39100,Butler Station,924,"07-2019",6036,-31.63141174,115.6915441,BUTLER COLLEGE,2.777370703729382,39
10 Oakdene Drive,Madeley,630000,4,2,2,606,185,2004,16200,Greenwood Station,4000,"11-2017",6065,-31.8100283,115.8240551,KINGSWAY CHRISTIAN COLLEGE,1.273363438539478,50
10 Oakfield Gardens,Parmelia,260000,3,2,2,577,133,NULL,33100,Kwinana Station,1800,"11-2018",6167,-32.24844,115.83177,THE KING'S COLLEGE,0.9546209754799404,
10 Oakleaf Circle,Mirrabooka,430000,3,1,2,684,124,1987,10800,Warwick Station,6600,"03-2016",6061,-31.85538792,115.8648777,JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL,0.8898909855337968,35
10 Ocean View Road,Edgewater,561000,4,2,2,742,142,1984,22000,Edgewater Station,827,"04-2017",6027,-31.76532,115.78302,MATER DEI COLLEGE,0.6191283811271714,104
10 Old Toodyay Road,Gidgegannup,425000,4,2,9,4051,200,1985,37800,Midland Station,22800,"07-2015",6083,-31.79256541,116.1987377,EASTERN HILLS SENIOR HIGH SCHOOL,9.276507115091334,105
10 Omaroo Terrace,City Beach,1550000,4,3,2,360,272,2015,8500,Swanbourne Station,6000,"01-2016",6015,-31.9289055,115.7731292,NEWMAN COLLEGE,1.485582462880516,44
10 Onslow Road,Shenton Park,998000,3,2,2,268,136,1993,3800,Daglish Station,1200,"07-2018",6008,-31.96066918,115.8202765,SHENTON COLLEGE,1.6331808142752904,14
10 Opal Place,Riverton,620000,4,1,3,826,138,1972,9400,Welshpool Station,4500,"03-2016",6148,-32.02971239,115.8987995,CLONTARF ABORIGINAL COLLEGE,1.6576851449305163,
10 Orient Street,South Fremantle,1500000,5,3,3,473,289,1900,16600,Fremantle Station,2400,"05-2017",6162,-32.07182,115.75413,FREMANTLE COLLEGE,1.3759886502228096,128
10 Osaka Loop,Hocking,517500,4,2,NULL,564,227,2006,21000,Edgewater Station,4500,"01-2020",6065,-31.766028,115.825423,WANNEROO SECONDARY COLLEGE,1.3300484550800082,131
10 Oslo Street,Hocking,537000,4,3,2,549,225,2007,20900,Edgewater Station,4500,"11-2020",6065,-31.766704,115.825445,WANNEROO SECONDARY COLLEGE,1.383863501961784,131
10 Otway Street,Swanbourne,1425010,4,2,2,404,218,2005,9100,Swanbourne Station,211,"06-2015",6010,-31.98152,115.76918,SCOTCH COLLEGE,0.38119339244406664,24
10 Outlook Close,Helena Valley,670000,4,2,3,2039,250,1989,18200,Midland Station,4800,"12-2016",6056,-31.91152174,116.0457758,SWAN VIEW SENIOR HIGH SCHOOL,2.677656277439639,
10 Palermo Court,Merriwa,301500,3,1,1,610,75,1990,34000,Clarkson Station,3000,"06-2016",6030,-31.67211,115.71485,QUINNS BAPTIST COLLEGE,0.6321298126015128,118
10 Pandora Way,Waikiki,285000,4,1,1,702,160,1985,40700,Rockingham Station,2000,"06-2018",6169,-32.30651,115.75285,SOUTH COAST BAPTIST COLLEGE,1.077219644006006,
10 Pannell Road,Bateman,840000,3,2,2,769,191,1975,11100,Bull Creek Station,700,"10-2014",6150,-32.05113,115.84854,CORPUS CHRISTI COLLEGE,0.841358376010717,28
10 Panorama Place,Carramar,1175000,4,3,2,20400,342,1987,30200,Clarkson Station,4300,"03-2017",6031,-31.68866,115.78352,JOSEPH BANKS SECONDARY COLLEGE,1.6646472384381248,92
10 Paris Gardens,Hocking,535000,4,2,NULL,555,234,2010,20000,Edgewater Station,4500,"08-2020",6065,-31.77514685,115.8259487,ALTA-1,1.649537999065609,
10 Park Road,Midvale,410000,4,1,2,684,150,1979,18100,Midland Station,3200,"03-2016",6056,-31.88725,116.03444,SWAN VIEW SENIOR HIGH SCHOOL,0.9347681177197689,
10 Patenier Street,Ashby,515000,4,2,2,582,227,2005,25500,Joondalup Station,3600,"10-2014",6065,-31.72875,115.80088,JOSEPH BANKS SECONDARY COLLEGE,3.369860832248156,92
10 Paton Mews,Quinns Rocks,355000,3,1,1,674,117,NULL,34500,Butler Station,3900,"11-2019",6030,-31.66952,115.70794,PETER MOYES ANGLICAN COMMUNITY SCHOOL,0.656582130755806,55
10 Peirse Way,Marmion,1765000,4,2,2,503,450,2015,15400,Warwick Station,3900,"04-2016",6020,-31.84536504,115.755714,CARINE SENIOR HIGH SCHOOL,2.0831512682947837,47
10 Pelham Lane,Henley Brook,460000,3,2,2,640,209,2002,20400,East Guildford Station,11100,"12-2020",6055,-31.79647,115.97319,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,1.1830449559419551,53
10 Pendleton Crescent,Butler,370000,4,2,2,510,196,2004,37300,Butler Station,1000,"09-2020",6036,-31.64444402,115.7024781,BUTLER COLLEGE,0.9960159370619807,39
10 Penelope Place,Innaloo,620000,2,2,1,341,143,1960,9500,Stirling Station,1300,"06-2018",6018,-31.88461447,115.7977679,BALCATTA SENIOR HIGH SCHOOL,1.7009201486222933,135
10 Peoples Avenue,Gooseberry Hill,1000000,3,1,1,1498,247,2010,18300,Midland Station,8200,"06-2019",6076,-31.95092,116.05259,KALAMUNDA SENIOR HIGH SCHOOL,3.0179828422648285,107
10 Persian Grove,Karnup,165000,4,2,2,450,181,2015,49100,Warnbro Station,7100,"09-2013",6176,-32.446139,115.7654586,COMET BAY COLLEGE,3.3819118285011145,35
10 Persian Street,Eglinton,360000,3,2,2,313,165,2015,43400,Butler Station,5100,"02-2018",6034,-31.59630215,115.6716924,YANCHEP SECONDARY COLLEGE,5.557516109639301,
10 Perugino Avenue,Landsdale,560000,4,2,2,590,228,2014,15100,Greenwood Station,8100,"07-2019",6065,-31.81712713,115.8687715,LANDSDALE CHRISTIAN SCHOOL,1.1597585778624369,
10 Peterkin Mews,Stratton,320000,3,1,1,384,91,1993,19200,Midland Station,4200,"03-2016",6056,-31.87279,116.03947,SWAN VIEW SENIOR HIGH SCHOOL,1.697288070658974,
10 Petworth Drive,The Vines,647500,4,4,3,680,249,2008,27100,Midland Station,16000,"02-2017",6069,-31.74879072,116.0163771,HOLY CROSS COLLEGE,4.847575067496489,98
10 Phoenix Terrace,Hocking,540000,4,2,4,560,241,2007,21200,Edgewater Station,4200,"04-2018",6065,-31.7647811,115.8223647,WANNEROO SECONDARY COLLEGE,1.028355017240567,131
10 PIEDMONT Way,Brabham,408100,3,2,2,350,137,2012,17900,Guildford Station,9000,"06-2017",6055,-31.81844632,115.964289,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,3.344915255449673,53
10 Pigeon Court,Langford,347000,3,1,1,677,101,1985,12600,Thornlie Station,1200,"05-2016",6147,-32.03977051,115.9426476,LANGFORD ISLAMIC COLLEGE,0.8698330991438056,85
10 Pigott Street,Armadale,270000,4,2,2,708,136,1975,26900,Armadale Station,1300,"07-2018",6112,-32.161,116.00261,DALE CHRISTIAN SCHOOL,0.40957804562713945,
10 Pinnacle Road,Coogee,625000,4,2,2,432,213,2014,21100,Cockburn Central Station,8000,"07-2019",6166,-32.12724487,115.7731947,DIVINE MERCY COLLEGE,4.904225447877263,
10 Plane Tree Grove,O'Connor,580000,4,2,2,474,159,1995,13600,Murdoch Station,4500,"01-2019",6163,-32.06426128,115.8026695,SETON CATHOLIC COLLEGE,1.2838539120948336,91
10 Playford Mews,Landsdale,609000,4,2,2,835,265,1999,16400,Whitfords Station,7400,"10-2019",6065,-31.80473,115.8606,LANDSDALE CHRISTIAN SCHOOL,0.6623471732062416,
10 Poa Way,Baldivis,435000,4,2,2,579,185,NULL,43300,Warnbro Station,5900,"10-2020",6171,-32.33997,115.82869,BALDIVIS SECONDARY COLLEGE,0.6535304753417381,134
10 Podger Way,Brookdale,341250,4,2,2,429,155,2014,27900,Armadale Station,1800,"10-2013",6112,-32.16910869,116.0072005,ARMADALE SENIOR HIGH SCHOOL,1.0792686746965472,
10 Poinsettia Grove,South Lake,460000,4,2,2,701,163,1993,16400,Murdoch Station,3700,"10-2015",6164,-32.099,115.84511,LAKELAND SENIOR HIGH SCHOOL,1.1209921808357057,
10 Pompei Crescent,Stirling,795000,3,2,2,495,217,2006,7500,Stirling Station,1000,"11-2017",6021,-31.896151,115.815539,SERVITE COLLEGE,1.8583772601358914,65
10 Pope Mews,North Lake,600000,4,1,2,767,182,1987,15000,Murdoch Station,3500,"04-2016",6163,-32.0825,115.8192,PERTH WALDORF SCHOOL,1.0876133717040328,
10 Portland Way,Ridgewood,485000,4,2,2,630,247,2008,35200,Butler Station,3300,"01-2017",6030,-31.657214,115.723945,ALKIMOS BAPTIST COLLEGE,1.3486258593843932,
10 Portmarnock Drive,The Vines,800000,4,3,2,1520,287,2003,26600,Midland Station,15700,"08-2018",6069,-31.75045,116.00938,HOLY CROSS COLLEGE,4.200904380931034,98
10 Portofino Turn,Ellenbrook,300000,3,1,1,411,91,1998,20600,Guildford Station,12300,"11-2020",6069,-31.78872,115.96118,ELLENBROOK CHRISTIAN COLLEGE,0.2867872715401901,88
10 Prescott Court,Parkwood,456000,4,2,2,533,169,1992,11200,Thornlie Station,4500,"10-2019",6147,-32.04512448,115.9042638,LYNWOOD SENIOR HIGH SCHOOL,1.1745272392830757,96
10 Press Street,Yanchep,370000,4,2,2,450,202,2015,49200,Butler Station,10900,"02-2019",6035,-31.5452014,115.655613,YANCHEP SECONDARY COLLEGE,1.413167553793203,
10 Primus Place,Warnbro,265000,4,2,2,531,133,1998,44600,Warnbro Station,2100,"08-2020",6169,-32.34540877,115.7682868,WARNBRO COMMUNITY HIGH SCHOOL,0.8638165392024602,
10 Priory Road,Maida Vale,495000,3,1,2,844,118,1982,15300,Midland Station,6900,"07-2015",6057,-31.95118,116.02035,DARLING RANGE SPORTS COLLEGE,2.866466533901451,137
10 Protector Grove,Roleystone,640000,4,2,2,2000,260,1996,30800,Sherwood Station,8100,"01-2020",6111,-32.14225,116.09639,SOUTHERN HILLS CHRISTIAN COLLEGE,6.3009000376196,
10 Prudhoe Mews,Ridgewood,395000,4,2,NULL,554,175,1997,34500,Clarkson Station,3300,"03-2020",6030,-31.66554,115.72059,ALKIMOS BAPTIST COLLEGE,1.1435279339899957,
10 Purdom Road,Wembley Downs,1450000,4,2,2,846,260,2004,9200,Glendalough Station,4800,"02-2017",6019,-31.91417096,115.7721087,HALE SCHOOL,1.1212502276517302,6
10 Pya Place,Joondalup,370000,3,1,1,890,91,1990,26800,Currambine Station,741,"02-2019",6027,-31.72729,115.75773,LAKE JOONDALUP BAPTIST COLLEGE,1.185459935353217,80
10 Pymore Crescent,Butler,335000,2,2,2,407,153,NULL,37200,Butler Station,1400,"08-2020",6036,-31.64793,115.69706,BUTLER COLLEGE,1.1778675726009653,39
10 Pyrmont Place,Greenmount,435500,4,2,5,717,135,1988,18200,Midland Station,3800,"06-2018",6056,-31.89747283,116.0404114,SWAN VIEW SENIOR HIGH SCHOOL,1.1716359985753055,
10 Queenscliff Court,Kallaroo,1125000,4,3,8,775,350,1989,20800,Whitfords Station,3900,"07-2016",6025,-31.79421,115.74123,ST MARK'S ANGLICAN COMMUNITY SCHOOL,0.5004841474328343,58
10 Queenslea Drive,Claremont,1950000,4,1,2,1201,170,1927,8400,Claremont Station,617,"02-2020",6010,-31.98538479,115.7788635,CHRIST CHURCH GRAMMAR SCHOOL,0.17725767289818908,3
10 Quincy Loop,Iluka,820000,4,2,2,650,277,1997,26400,Currambine Station,2800,"05-2018",6028,-31.74228,115.72946,PRENDIVILLE CATHOLIC COLLEGE,1.684836265127496,60
10 Quindalup Court,Hillman,350000,4,2,2,699,170,1987,38200,Rockingham Station,540,"11-2010",6168,-32.28553,115.76298,KOLBE CATHOLIC COLLEGE,1.048507214687444,97
10 Quondong Close,Kenwick,410000,4,2,1,629,139,1999,15200,Madding,1500,"04-2015",6107,-32.03598,115.98595,REHOBOTH CHRISTIAN COLLEGE,0.8989045792531776,
10 Rainsby Crescent,Ellenbrook,272000,3,2,2,271,117,2006,22700,East Guildford Station,13500,"08-2019",6069,-31.77488713,115.9773618,HOLY CROSS COLLEGE,0.38865775281136394,98
10 Raphael Street,Subiaco,1400000,3,3,2,240,199,NULL,3500,Subiaco Station,592,"03-2019",6008,-31.94953,115.82161,PERTH MODERN SCHOOL,1.4812207594540483,1
10 Rason Court,Seville Grove,325000,4,2,2,500,191,2001,23700,Sherwood Station,1700,"09-2019",6112,-32.131976,115.9933144,CECIL ANDREWS COLLEGE,1.0333953265108549,139
10 Redcloud Ridge,Merriwa,398000,4,2,2,520,165,2004,35700,Butler Station,2600,"11-2020",6030,-31.6567274,115.7121909,IRENE MCCORMACK CATHOLIC COLLEGE,0.39400629139423854,120
10 Regatta Boulevard,Champion Lakes,485000,3,2,2,344,237,2010,22100,Kelmscott Station,1900,"06-2011",6111,-32.11499018,115.992834,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,1.8167684281091274,40
10 Rendition Place,Redcliffe,460000,4,2,2,535,161,2001,8400,Bassendean Station,4500,"02-2018",6104,-31.94377,115.94739,BELMONT CITY COLLEGE,2.0794237657347012,57
10 Renoir Lane,Currambine,685000,5,2,2,622,253,2000,26800,Currambine Station,653,"03-2017",6028,-31.73064,115.74891,LAKE JOONDALUP BAPTIST COLLEGE,1.4066607104869082,80
10 Renshaw Boulevard,Clarkson,370000,4,2,2,679,143,1993,33000,Clarkson Station,2300,"11-2018",6030,-31.68138,115.71583,QUINNS BAPTIST COLLEGE,0.7862252921483736,118
10 Rhone Place,Beechboro,405000,3,1,3,772,106,1989,11400,Ashfield Station,5000,"06-2017",6063,-31.86825,115.9272,KIARA COLLEGE,1.2664480033978083,
10 Rigoll Court,Mundijong,350000,3,1,2,905,110,1980,39300,Armadale Station,15100,"05-2015",6123,-32.2879,115.98675,COURT GRAMMAR SCHOOL,2.0732590727841123,
10 Rimmington Court,South Lake,425000,5,2,1,533,179,1998,18300,Cockburn Central Station,2100,"03-2016",6164,-32.11541,115.83928,LAKELAND SENIOR HIGH SCHOOL,0.9435224820284753,
10 Ritan Lane,Brabham,320000,3,2,NULL,225,123,2015,17700,Guildford Station,8600,"03-2017",6055,-31.82163542,115.9655701,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,3.5701845770719416,53
10 Riverlinks Drive,Clarkson,370000,4,2,2,472,151,2006,31800,Clarkson Station,902,"08-2018",6030,-31.68855034,115.728886,YOUTH FUTURES COMMUNITY SCHOOL,0.9010041993110968,
10 Rivett Way,Brentwood,950000,2,1,NULL,802,302,2010,10100,Bull Creek Station,591,"09-2019",6153,-32.04281707,115.8504185,CORPUS CHRISTI COLLEGE,1.7288826524136,28
10 Robertson Road,Gooseberry Hill,580000,3,2,2,2182,130,1975,17100,Midland Station,7800,"11-2019",6076,-31.95372,116.04016,KALAMUNDA SENIOR HIGH SCHOOL,3.083682814804515,107
10 Robertson Street,Hazelmere,312000,3,1,1,2070,130,2000,13800,Woodbridge Station,981,"03-2005",6055,-31.90036,115.99177,GUILDFORD GRAMMAR SCHOOL,1.1683085269055107,52
10 Robinia Rise,Helena Valley,600000,4,2,2,1312,249,1995,16800,Midland Station,3600,"07-2018",6056,-31.91183,116.03056,SWAN VIEW SENIOR HIGH SCHOOL,3.0046050348350377,
10 Robins Road,Kalamunda,570000,3,1,1,1672,292,1971,18400,Madding,9900,"10-2020",6076,-31.98126,116.05083,KALAMUNDA SENIOR HIGH SCHOOL,0.6298001250530861,107
10 Romaine Loop,Darch,540000,4,3,2,344,171,2008,15600,Greenwood Station,6700,"04-2020",6065,-31.81248237,115.8534861,ASHDALE SECONDARY COLLEGE,1.1374198941644529,75
10 Romano Crescent,Iluka,1550000,4,3,2,666,384,2011,27200,Currambine Station,2500,"07-2016",6028,-31.73480132,115.7272056,PRENDIVILLE CATHOLIC COLLEGE,2.5067882117782814,60
10 Rome Road,Wanneroo,1012500,8,4,8,20454,240,NULL,22600,Joondalup Station,5800,"10-2018",6065,-31.7506,115.82838,WANNEROO SECONDARY COLLEGE,1.4915705938596384,131
10 Rosalind Court,Rossmoyne,1210000,5,2,2,896,233,1971,10000,Bull Creek Station,1500,"08-2015",6148,-32.04133,115.869,ROSSMOYNE SENIOR HIGH SCHOOL,0.5679052531115353,16
10 Rosedale Vista,Hocking,459000,4,2,2,455,181,2003,20100,Edgewater Station,3800,"08-2020",6065,-31.7747429,115.8185141,ALTA-1,1.280454365199287,
10 Rosegreen Avenue,Butler,545000,4,2,2,773,239,2011,37400,Butler Station,1100,"09-2020",6036,-31.64098224,115.7093557,BUTLER COLLEGE,1.1897111531723807,39
10 Rowell Gardens,High Wycombe,519000,4,2,2,551,203,2003,13800,Midland Station,4700,"04-2020",6057,-31.93436,116.00339,DARLING RANGE SPORTS COLLEGE,4.647636153881396,137
10 Rushby Way,Samson,790000,5,2,3,891,158,1990,13900,Murdoch Station,4600,"03-2015",6163,-32.06709,115.80193,SETON CATHOLIC COLLEGE,1.0196057368169482,91
10 Sala Road,Pickering Brook,225000,4,2,1,19878,200,NULL,30200,Madding,16900,"02-2001",6076,-32.04184,116.16106,CARMEL ADVENTIST COLLEGE,7.00265903573335,
