Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
12160,23-05-2021 13:00,05-21-2021 15:00,21-05-2021 23:17,Delhi,535,BURGLARY,27,F,None,Other Crime,12,Yes,16-10-2021 13:00
12161,23-05-2021 02:00,05-21-2021 16:00,21-05-2021 22:54,Indore,574,IDENTITY THEFT,40,F,Explosives,Violent Crime,17,Yes,04-07-2021 02:00
12162,24-05-2021 04:00,05-21-2021 17:00,22-05-2021 08:00,Surat,589,CYBERCRIME,47,M,Other,Other Crime,4,Yes,30-06-2021 04:00
12163,24-05-2021 08:00,05-21-2021 18:00,22-05-2021 09:57,Ludhiana,522,SEXUAL ASSAULT,18,M,None,Violent Crime,15,No,
12164,24-05-2021 01:00,05-21-2021 19:00,22-05-2021 00:51,Kanpur,227,IDENTITY THEFT,11,F,Knife,Violent Crime,12,No,
12165,23-05-2021 00:00,05-21-2021 20:00,22-05-2021 14:34,Hyderabad,198,ILLEGAL POSSESSION,22,F,Poison,Other Crime,3,No,
12166,23-05-2021 15:00,05-21-2021 21:00,21-05-2021 21:10,Thane,517,VANDALISM,70,F,Knife,Other Crime,19,Yes,31-07-2021 15:00
12167,24-05-2021 14:00,05-21-2021 22:00,22-05-2021 13:46,Ahmedabad,352,COUNTERFEITING,51,F,Other,Other Crime,9,No,
12168,23-05-2021 14:00,05-21-2021 23:00,22-05-2021 05:44,Chennai,400,SHOPLIFTING,62,F,Knife,Other Crime,12,No,
12169,23-05-2021 15:00,05-22-2021 00:00,22-05-2021 17:57,Bangalore,397,VEHICLE - STOLEN,66,M,Other,Violent Crime,17,Yes,02-06-2021 15:00
12170,22-05-2021 14:00,05-22-2021 01:00,22-05-2021 12:16,Pune,580,PUBLIC INTOXICATION,15,F,Firearm,Other Crime,5,Yes,23-05-2021 14:00
12171,22-05-2021 04:00,05-22-2021 02:00,22-05-2021 23:42,Kalyan,250,EXTORTION,43,F,Firearm,Other Crime,12,No,
12172,23-05-2021 16:00,05-22-2021 03:00,22-05-2021 13:31,Indore,599,DRUG OFFENSE,12,M,Other,Other Crime,10,Yes,12-06-2021 16:00
12173,24-05-2021 01:00,05-22-2021 04:00,22-05-2021 17:54,Chennai,194,EXTORTION,49,F,Explosives,Other Crime,2,Yes,04-06-2021 01:00
12174,22-05-2021 09:00,05-22-2021 05:00,22-05-2021 16:49,Lucknow,421,DRUG OFFENSE,30,M,Poison,Other Crime,8,No,
12175,25-05-2021 04:00,05-22-2021 06:00,22-05-2021 21:22,Visakhapatnam,252,ASSAULT,79,M,Blunt Object,Violent Crime,13,No,
12176,23-05-2021 23:00,05-22-2021 07:00,22-05-2021 19:29,Ahmedabad,349,EXTORTION,35,F,Explosives,Other Crime,5,Yes,12-06-2021 23:00
12177,23-05-2021 08:00,05-22-2021 08:00,22-05-2021 21:21,Chennai,151,BURGLARY,50,F,Explosives,Other Crime,10,Yes,29-09-2021 08:00
12178,23-05-2021 06:00,05-22-2021 09:00,23-05-2021 04:49,Delhi,480,HOMICIDE,41,F,Explosives,Other Crime,2,No,
12179,24-05-2021 16:00,05-22-2021 10:00,22-05-2021 21:56,Mumbai,126,HOMICIDE,58,F,Poison,Other Crime,10,Yes,25-08-2022 16:00
12180,24-05-2021 19:00,05-22-2021 11:00,23-05-2021 07:33,Agra,430,DOMESTIC VIOLENCE,50,F,Other,Violent Crime,6,No,
12181,23-05-2021 01:00,05-22-2021 12:00,22-05-2021 18:31,Pune,351,EXTORTION,38,M,Explosives,Other Crime,11,No,
12182,24-05-2021 03:00,05-22-2021 13:00,23-05-2021 09:20,Varanasi,583,TRAFFIC VIOLATION,67,F,Other,Traffic Fatality,10,No,
12183,23-05-2021 20:00,05-22-2021 14:00,23-05-2021 08:37,Agra,459,BURGLARY,76,F,Poison,Other Crime,12,Yes,18-07-2021 20:00
12184,23-05-2021 13:00,05-22-2021 15:00,23-05-2021 12:03,Delhi,572,DOMESTIC VIOLENCE,26,F,Blunt Object,Violent Crime,2,No,
12185,23-05-2021 22:00,05-22-2021 16:00,23-05-2021 07:39,Bhopal,489,VEHICLE - STOLEN,17,F,None,Violent Crime,10,No,
12186,23-05-2021 03:00,05-22-2021 17:00,22-05-2021 21:05,Lucknow,418,EXTORTION,60,F,Explosives,Other Crime,15,Yes,13-08-2021 03:00
12187,23-05-2021 13:00,05-22-2021 18:00,23-05-2021 14:39,Ahmedabad,571,DRUG OFFENSE,25,F,Other,Other Crime,19,No,
12188,23-05-2021 18:00,05-22-2021 19:00,22-05-2021 22:19,Delhi,360,EXTORTION,75,M,Explosives,Other Crime,18,Yes,26-07-2021 18:00
12189,24-05-2021 19:00,05-22-2021 20:00,23-05-2021 02:45,Mumbai,269,DRUG OFFENSE,54,F,None,Other Crime,4,No,
12190,23-05-2021 18:00,05-22-2021 21:00,23-05-2021 20:23,Hyderabad,469,COUNTERFEITING,71,M,Other,Other Crime,18,Yes,04-06-2021 18:00
12191,23-05-2021 02:00,05-22-2021 22:00,23-05-2021 07:35,Srinagar,129,ROBBERY,39,F,Explosives,Violent Crime,15,No,
12192,25-05-2021 18:00,05-22-2021 23:00,23-05-2021 22:04,Visakhapatnam,100,ROBBERY,64,M,Blunt Object,Violent Crime,7,No,
12193,25-05-2021 07:00,05-23-2021 00:00,23-05-2021 23:11,Srinagar,164,CYBERCRIME,43,M,Poison,Other Crime,7,Yes,21-06-2021 07:00
12194,24-05-2021 13:00,05-23-2021 01:00,23-05-2021 17:28,Jaipur,222,CYBERCRIME,29,F,Poison,Other Crime,14,No,
12195,24-05-2021 19:00,05-23-2021 02:00,23-05-2021 13:59,Delhi,265,FRAUD,58,F,Other,Other Crime,19,Yes,06-07-2021 19:00
12196,25-05-2021 03:00,05-23-2021 03:00,23-05-2021 13:52,Ahmedabad,445,SEXUAL ASSAULT,77,M,Blunt Object,Violent Crime,19,Yes,15-01-2022 03:00
12197,24-05-2021 06:00,05-23-2021 04:00,23-05-2021 22:47,Mumbai,132,SEXUAL ASSAULT,25,M,Knife,Violent Crime,6,Yes,23-11-2021 06:00
12198,26-05-2021 03:00,05-23-2021 05:00,23-05-2021 19:28,Delhi,513,SEXUAL ASSAULT,47,M,Blunt Object,Violent Crime,10,No,
12199,25-05-2021 17:00,05-23-2021 06:00,23-05-2021 06:22,Thane,255,KIDNAPPING,65,M,Knife,Other Crime,11,No,
12200,23-05-2021 18:00,05-23-2021 07:00,23-05-2021 17:59,Surat,261,DOMESTIC VIOLENCE,39,M,Explosives,Violent Crime,9,Yes,29-06-2021 18:00
12201,25-05-2021 03:00,05-23-2021 08:00,23-05-2021 11:55,Rajkot,465,ROBBERY,46,F,Blunt Object,Violent Crime,18,No,
12202,24-05-2021 02:00,05-23-2021 09:00,23-05-2021 21:57,Surat,120,CYBERCRIME,19,F,Explosives,Other Crime,8,No,
12203,24-05-2021 22:00,05-23-2021 10:00,24-05-2021 03:55,Hyderabad,569,TRAFFIC VIOLATION,12,F,Explosives,Traffic Fatality,4,No,
12204,24-05-2021 03:00,05-23-2021 11:00,24-05-2021 05:09,Bangalore,249,DOMESTIC VIOLENCE,78,F,Firearm,Violent Crime,2,No,
12205,24-05-2021 09:00,05-23-2021 12:00,23-05-2021 13:41,Hyderabad,255,COUNTERFEITING,22,F,Poison,Other Crime,5,No,
12206,26-05-2021 05:00,05-23-2021 13:00,23-05-2021 17:56,Pune,183,DRUG OFFENSE,11,F,Blunt Object,Other Crime,6,No,
12207,24-05-2021 07:00,05-23-2021 14:00,24-05-2021 08:12,Thane,415,KIDNAPPING,27,F,Firearm,Other Crime,2,No,
12208,24-05-2021 10:00,05-23-2021 15:00,24-05-2021 01:06,Ghaziabad,537,FIREARM OFFENSE,62,F,Firearm,Fire Accident,5,Yes,07-07-2021 10:00
12209,24-05-2021 09:00,05-23-2021 16:00,23-05-2021 20:23,Delhi,205,HOMICIDE,62,F,Explosives,Other Crime,10,Yes,13-11-2022 09:00
12210,25-05-2021 11:00,05-23-2021 17:00,24-05-2021 01:46,Vasai,570,TRAFFIC VIOLATION,29,F,Knife,Traffic Fatality,10,No,
12211,25-05-2021 11:00,05-23-2021 18:00,23-05-2021 20:04,Ahmedabad,305,EXTORTION,71,M,Blunt Object,Other Crime,4,No,
12212,25-05-2021 08:00,05-23-2021 19:00,24-05-2021 06:54,Jaipur,111,TRAFFIC VIOLATION,17,M,Explosives,Traffic Fatality,18,No,
12213,25-05-2021 23:00,05-23-2021 20:00,24-05-2021 07:27,Pune,134,DOMESTIC VIOLENCE,76,F,None,Violent Crime,17,No,
12214,26-05-2021 02:00,05-23-2021 21:00,24-05-2021 07:27,Ghaziabad,146,VANDALISM,45,F,Explosives,Other Crime,8,No,
12215,26-05-2021 21:00,05-23-2021 22:00,23-05-2021 22:39,Agra,163,PUBLIC INTOXICATION,12,M,Firearm,Other Crime,13,No,
12216,25-05-2021 01:00,05-23-2021 23:00,24-05-2021 14:34,Bangalore,334,BURGLARY,43,F,Other,Other Crime,2,Yes,26-10-2021 01:00
12217,25-05-2021 23:00,05-24-2021 00:00,24-05-2021 00:27,Bangalore,596,ILLEGAL POSSESSION,64,F,Poison,Other Crime,4,No,
12218,24-05-2021 07:00,05-24-2021 01:00,24-05-2021 21:48,Pune,490,ASSAULT,43,M,None,Violent Crime,10,No,
12219,25-05-2021 11:00,05-24-2021 02:00,24-05-2021 05:14,Bangalore,136,DRUG OFFENSE,39,F,Explosives,Other Crime,6,Yes,13-08-2021 11:00
12220,25-05-2021 16:00,05-24-2021 03:00,25-05-2021 00:18,Lucknow,449,VEHICLE - STOLEN,50,F,Poison,Violent Crime,8,No,
12221,26-05-2021 05:00,05-24-2021 04:00,24-05-2021 11:10,Jaipur,288,DOMESTIC VIOLENCE,66,M,Explosives,Violent Crime,16,No,
12222,26-05-2021 05:00,05-24-2021 05:00,25-05-2021 01:07,Delhi,204,ASSAULT,20,M,Firearm,Violent Crime,5,Yes,06-08-2021 05:00
12223,27-05-2021 00:00,05-24-2021 06:00,24-05-2021 09:43,Kanpur,163,VEHICLE - STOLEN,54,F,Explosives,Violent Crime,12,No,
12224,26-05-2021 14:00,05-24-2021 07:00,24-05-2021 17:47,Delhi,230,SEXUAL ASSAULT,50,F,Explosives,Violent Crime,9,Yes,26-04-2022 14:00
12225,27-05-2021 05:00,05-24-2021 08:00,24-05-2021 23:30,Nashik,386,IDENTITY THEFT,76,F,Poison,Violent Crime,6,No,
12226,24-05-2021 20:00,05-24-2021 09:00,24-05-2021 10:06,Ahmedabad,166,FIREARM OFFENSE,15,F,Explosives,Fire Accident,18,Yes,20-08-2021 20:00
12227,25-05-2021 16:00,05-24-2021 10:00,24-05-2021 19:40,Bangalore,141,VANDALISM,15,M,Other,Other Crime,15,Yes,17-06-2021 16:00
12228,25-05-2021 18:00,05-24-2021 11:00,24-05-2021 20:09,Jaipur,583,DOMESTIC VIOLENCE,20,F,Blunt Object,Violent Crime,17,Yes,12-06-2021 18:00
12229,27-05-2021 05:00,05-24-2021 12:00,24-05-2021 13:01,Bangalore,437,HOMICIDE,63,F,Poison,Other Crime,3,Yes,07-01-2023 05:00
12230,24-05-2021 14:00,05-24-2021 13:00,25-05-2021 09:28,Kanpur,467,IDENTITY THEFT,16,M,Knife,Violent Crime,18,No,
12231,24-05-2021 16:00,05-24-2021 14:00,25-05-2021 00:33,Kolkata,360,DOMESTIC VIOLENCE,40,F,Firearm,Violent Crime,5,No,
12232,26-05-2021 06:00,05-24-2021 15:00,25-05-2021 09:07,Ghaziabad,257,SHOPLIFTING,77,M,Poison,Other Crime,7,No,
12233,25-05-2021 11:00,05-24-2021 16:00,25-05-2021 13:02,Jaipur,412,KIDNAPPING,53,F,Poison,Other Crime,15,No,
12234,25-05-2021 18:00,05-24-2021 17:00,25-05-2021 04:15,Chennai,156,VEHICLE - STOLEN,41,F,Firearm,Violent Crime,17,No,
12235,26-05-2021 19:00,05-24-2021 18:00,24-05-2021 20:58,Mumbai,525,DRUG OFFENSE,26,M,Blunt Object,Other Crime,18,No,
12236,26-05-2021 18:00,05-24-2021 19:00,25-05-2021 01:36,Pune,183,TRAFFIC VIOLATION,54,M,Firearm,Traffic Fatality,6,No,
12237,26-05-2021 00:00,05-24-2021 20:00,25-05-2021 01:53,Bangalore,313,DOMESTIC VIOLENCE,62,F,Firearm,Violent Crime,16,No,
12238,26-05-2021 16:00,05-24-2021 21:00,25-05-2021 13:39,Kolkata,439,IDENTITY THEFT,63,F,Other,Violent Crime,3,Yes,29-06-2021 16:00
12239,26-05-2021 23:00,05-24-2021 22:00,25-05-2021 19:02,Delhi,184,SEXUAL ASSAULT,47,F,Firearm,Violent Crime,9,No,
12240,25-05-2021 08:00,05-24-2021 23:00,25-05-2021 18:54,Surat,226,HOMICIDE,61,M,Firearm,Other Crime,1,No,
12241,27-05-2021 15:00,05-25-2021 00:00,25-05-2021 08:09,Chennai,505,FRAUD,76,M,Blunt Object,Other Crime,12,No,
12242,25-05-2021 07:00,05-25-2021 01:00,25-05-2021 23:07,Thane,462,CYBERCRIME,30,F,Knife,Other Crime,18,Yes,11-06-2021 07:00
12243,25-05-2021 18:00,05-25-2021 02:00,25-05-2021 21:29,Mumbai,584,PUBLIC INTOXICATION,37,F,None,Other Crime,6,No,
12244,26-05-2021 11:00,05-25-2021 03:00,25-05-2021 22:00,Varanasi,316,KIDNAPPING,54,M,Explosives,Other Crime,4,Yes,19-06-2021 11:00
12245,25-05-2021 06:00,05-25-2021 04:00,25-05-2021 06:15,Ludhiana,571,COUNTERFEITING,26,M,Firearm,Other Crime,15,Yes,30-07-2021 06:00
12246,26-05-2021 19:00,05-25-2021 05:00,25-05-2021 10:19,Kalyan,531,FIREARM OFFENSE,56,M,Explosives,Fire Accident,14,No,
12247,26-05-2021 12:00,05-25-2021 06:00,25-05-2021 15:30,Jaipur,280,EXTORTION,17,F,Blunt Object,Other Crime,10,No,
12248,26-05-2021 16:00,05-25-2021 07:00,25-05-2021 14:29,Mumbai,433,VANDALISM,31,F,Firearm,Other Crime,5,No,
12249,27-05-2021 01:00,05-25-2021 08:00,25-05-2021 09:24,Pune,567,DOMESTIC VIOLENCE,12,F,Other,Violent Crime,5,No,
12250,27-05-2021 19:00,05-25-2021 09:00,25-05-2021 12:30,Thane,111,DOMESTIC VIOLENCE,73,M,None,Violent Crime,19,No,
12251,28-05-2021 06:00,05-25-2021 10:00,26-05-2021 09:09,Kanpur,341,HOMICIDE,61,F,Explosives,Other Crime,17,No,
12252,28-05-2021 03:00,05-25-2021 11:00,26-05-2021 05:54,Delhi,443,IDENTITY THEFT,22,F,Explosives,Violent Crime,2,Yes,15-07-2021 03:00
12253,26-05-2021 04:00,05-25-2021 12:00,26-05-2021 04:01,Kalyan,523,BURGLARY,42,F,None,Other Crime,18,No,
12254,27-05-2021 23:00,05-25-2021 13:00,26-05-2021 08:25,Bangalore,589,ROBBERY,48,F,Explosives,Violent Crime,19,No,
12255,27-05-2021 10:00,05-25-2021 14:00,25-05-2021 22:51,Hyderabad,413,CYBERCRIME,32,F,None,Other Crime,3,No,
12256,28-05-2021 02:00,05-25-2021 15:00,26-05-2021 14:58,Mumbai,486,ARSON,28,M,Blunt Object,Fire Accident,17,No,
12257,26-05-2021 15:00,05-25-2021 16:00,26-05-2021 15:09,Mumbai,140,FRAUD,30,F,Blunt Object,Other Crime,19,No,
12258,26-05-2021 06:00,05-25-2021 17:00,25-05-2021 17:39,Kanpur,416,PUBLIC INTOXICATION,77,F,Knife,Other Crime,12,No,
12259,28-05-2021 11:00,05-25-2021 18:00,25-05-2021 22:38,Surat,323,BURGLARY,44,F,Firearm,Other Crime,16,Yes,22-09-2021 11:00
12260,27-05-2021 13:00,05-25-2021 19:00,26-05-2021 08:33,Bhopal,308,FRAUD,35,F,Other,Other Crime,10,No,
12261,27-05-2021 13:00,05-25-2021 20:00,26-05-2021 02:40,Mumbai,521,DRUG OFFENSE,66,M,Other,Other Crime,1,Yes,03-07-2021 13:00
12262,28-05-2021 05:00,05-25-2021 21:00,26-05-2021 14:43,Hyderabad,109,VEHICLE - STOLEN,34,M,Knife,Violent Crime,16,No,
12263,26-05-2021 20:00,05-25-2021 22:00,26-05-2021 00:20,Mumbai,108,SEXUAL ASSAULT,39,F,Other,Violent Crime,6,Yes,23-09-2022 20:00
12264,26-05-2021 14:00,05-25-2021 23:00,26-05-2021 20:29,Pune,492,PUBLIC INTOXICATION,25,F,Explosives,Other Crime,5,Yes,18-06-2021 14:00
12265,28-05-2021 23:00,05-26-2021 00:00,26-05-2021 00:19,Mumbai,564,COUNTERFEITING,71,F,Other,Other Crime,13,Yes,14-07-2021 23:00
12266,28-05-2021 19:00,05-26-2021 01:00,26-05-2021 07:41,Patna,577,ARSON,36,F,Poison,Fire Accident,11,Yes,30-06-2021 19:00
12267,26-05-2021 08:00,05-26-2021 02:00,26-05-2021 08:10,Pune,534,VEHICLE - STOLEN,66,F,None,Violent Crime,2,No,
12268,28-05-2021 07:00,05-26-2021 03:00,26-05-2021 22:50,Lucknow,407,ROBBERY,75,M,None,Violent Crime,18,No,
12269,28-05-2021 01:00,05-26-2021 04:00,26-05-2021 09:40,Hyderabad,560,SEXUAL ASSAULT,43,F,Firearm,Violent Crime,8,Yes,10-03-2023 01:00
12270,28-05-2021 11:00,05-26-2021 05:00,26-05-2021 20:32,Chennai,202,DRUG OFFENSE,38,M,Firearm,Other Crime,4,No,
12271,27-05-2021 23:00,05-26-2021 06:00,26-05-2021 11:55,Patna,426,BURGLARY,40,F,None,Other Crime,10,Yes,28-07-2021 23:00
12272,28-05-2021 05:00,05-26-2021 07:00,26-05-2021 18:26,Delhi,145,KIDNAPPING,36,F,None,Other Crime,13,Yes,09-08-2021 05:00
12273,27-05-2021 21:00,05-26-2021 08:00,26-05-2021 22:31,Agra,201,KIDNAPPING,23,F,Explosives,Other Crime,1,No,
12274,26-05-2021 12:00,05-26-2021 09:00,27-05-2021 04:41,Kolkata,555,SHOPLIFTING,56,F,Knife,Other Crime,5,No,
12275,26-05-2021 23:00,05-26-2021 10:00,27-05-2021 01:04,Hyderabad,443,ARSON,21,F,Firearm,Fire Accident,2,Yes,08-08-2021 23:00
12276,28-05-2021 12:00,05-26-2021 11:00,26-05-2021 19:48,Hyderabad,480,BURGLARY,48,M,Other,Other Crime,9,Yes,10-08-2021 12:00
12277,27-05-2021 09:00,05-26-2021 12:00,26-05-2021 19:39,Mumbai,352,EXTORTION,43,M,Explosives,Other Crime,10,No,
12278,28-05-2021 05:00,05-26-2021 13:00,27-05-2021 06:31,Bangalore,101,VANDALISM,67,F,None,Other Crime,11,Yes,25-06-2021 05:00
12279,28-05-2021 08:00,05-26-2021 14:00,26-05-2021 21:58,Delhi,106,VANDALISM,68,F,Knife,Other Crime,15,Yes,11-08-2021 08:00
12280,27-05-2021 00:00,05-26-2021 15:00,26-05-2021 18:45,Bhopal,391,DRUG OFFENSE,59,F,Knife,Other Crime,18,No,
12281,28-05-2021 07:00,05-26-2021 16:00,27-05-2021 09:11,Nagpur,383,ROBBERY,31,F,Poison,Violent Crime,14,No,
12282,28-05-2021 09:00,05-26-2021 17:00,26-05-2021 17:37,Kolkata,585,BURGLARY,79,F,Knife,Other Crime,15,Yes,30-10-2021 09:00
12283,28-05-2021 13:00,05-26-2021 18:00,27-05-2021 01:46,Bangalore,570,COUNTERFEITING,36,F,Firearm,Other Crime,5,Yes,23-08-2021 13:00
12284,29-05-2021 02:00,05-26-2021 19:00,26-05-2021 20:25,Delhi,382,EXTORTION,13,M,Other,Other Crime,2,No,
12285,28-05-2021 01:00,05-26-2021 20:00,27-05-2021 02:00,Delhi,540,ASSAULT,74,F,Poison,Violent Crime,9,No,
12286,28-05-2021 14:00,05-26-2021 21:00,27-05-2021 20:05,Ludhiana,475,KIDNAPPING,47,F,Other,Other Crime,16,No,
12287,27-05-2021 01:00,05-26-2021 22:00,26-05-2021 22:10,Bangalore,181,PUBLIC INTOXICATION,60,F,Knife,Other Crime,6,No,
12288,28-05-2021 09:00,05-26-2021 23:00,27-05-2021 18:41,Delhi,173,VANDALISM,76,F,Poison,Other Crime,19,No,
12289,29-05-2021 20:00,05-27-2021 00:00,27-05-2021 20:54,Rajkot,230,CYBERCRIME,78,F,None,Other Crime,1,No,
12290,29-05-2021 21:00,05-27-2021 01:00,27-05-2021 22:09,Pune,136,SHOPLIFTING,74,F,Explosives,Other Crime,19,Yes,12-07-2021 21:00
12291,29-05-2021 03:00,05-27-2021 02:00,28-05-2021 01:23,Pune,259,COUNTERFEITING,19,F,Other,Other Crime,17,No,
12292,27-05-2021 12:00,05-27-2021 03:00,28-05-2021 01:22,Hyderabad,296,BURGLARY,25,F,Poison,Other Crime,3,No,
12293,28-05-2021 18:00,05-27-2021 04:00,27-05-2021 05:51,Delhi,465,VEHICLE - STOLEN,54,M,Firearm,Violent Crime,14,Yes,08-06-2021 18:00
12294,27-05-2021 07:00,05-27-2021 05:00,27-05-2021 20:35,Hyderabad,111,ARSON,25,F,Firearm,Fire Accident,1,Yes,15-06-2021 07:00
12295,29-05-2021 11:00,05-27-2021 06:00,28-05-2021 00:05,Bhopal,595,COUNTERFEITING,45,M,Knife,Other Crime,6,Yes,27-06-2021 11:00
12296,27-05-2021 10:00,05-27-2021 07:00,27-05-2021 17:41,Mumbai,107,FIREARM OFFENSE,34,F,Knife,Fire Accident,7,Yes,10-07-2021 10:00
12297,27-05-2021 15:00,05-27-2021 08:00,27-05-2021 22:42,Kolkata,243,FRAUD,74,F,Other,Other Crime,18,Yes,29-06-2021 15:00
12298,29-05-2021 08:00,05-27-2021 09:00,28-05-2021 08:12,Ghaziabad,245,ROBBERY,77,F,Knife,Violent Crime,13,No,
12299,30-05-2021 01:00,05-27-2021 10:00,27-05-2021 10:44,Kolkata,395,ARSON,60,M,None,Fire Accident,18,Yes,20-07-2021 01:00
12300,29-05-2021 05:00,05-27-2021 11:00,27-05-2021 20:02,Delhi,120,HOMICIDE,26,F,Poison,Other Crime,15,No,
12301,29-05-2021 12:00,05-27-2021 12:00,27-05-2021 16:07,Jaipur,329,EXTORTION,41,M,Blunt Object,Other Crime,16,Yes,05-06-2021 12:00
12302,27-05-2021 18:00,05-27-2021 13:00,28-05-2021 08:15,Delhi,287,ARSON,69,M,None,Fire Accident,16,Yes,09-07-2021 18:00
12303,28-05-2021 10:00,05-27-2021 14:00,28-05-2021 13:46,Jaipur,484,ROBBERY,56,F,Firearm,Violent Crime,7,Yes,19-09-2021 10:00
12304,29-05-2021 23:00,05-27-2021 15:00,27-05-2021 18:46,Delhi,137,ASSAULT,48,M,Firearm,Violent Crime,5,No,
12305,30-05-2021 02:00,05-27-2021 16:00,28-05-2021 01:38,Ghaziabad,173,KIDNAPPING,18,F,Other,Other Crime,5,No,
12306,28-05-2021 13:00,05-27-2021 17:00,28-05-2021 12:39,Bangalore,113,PUBLIC INTOXICATION,13,F,Firearm,Other Crime,15,No,
12307,28-05-2021 08:00,05-27-2021 18:00,28-05-2021 00:56,Kolkata,594,IDENTITY THEFT,76,F,Explosives,Violent Crime,5,No,
12308,29-05-2021 18:00,05-27-2021 19:00,28-05-2021 05:50,Varanasi,529,CYBERCRIME,39,M,Poison,Other Crime,10,Yes,10-08-2021 18:00
12309,30-05-2021 07:00,05-27-2021 20:00,28-05-2021 03:06,Mumbai,258,DRUG OFFENSE,21,F,Knife,Other Crime,14,No,
12310,30-05-2021 06:00,05-27-2021 21:00,28-05-2021 12:00,Lucknow,408,EXTORTION,28,F,None,Other Crime,18,Yes,07-08-2021 06:00
12311,29-05-2021 18:00,05-27-2021 22:00,28-05-2021 18:03,Kolkata,366,PUBLIC INTOXICATION,34,F,None,Other Crime,8,Yes,04-06-2021 18:00
12312,28-05-2021 09:00,05-27-2021 23:00,28-05-2021 21:12,Delhi,502,DRUG OFFENSE,19,F,Poison,Other Crime,18,No,
12313,28-05-2021 01:00,05-28-2021 00:00,28-05-2021 05:24,Mumbai,401,SEXUAL ASSAULT,78,M,Firearm,Violent Crime,8,Yes,01-01-2022 01:00
12314,28-05-2021 21:00,05-28-2021 01:00,28-05-2021 10:45,Surat,306,TRAFFIC VIOLATION,40,F,Explosives,Traffic Fatality,4,No,
12315,29-05-2021 05:00,05-28-2021 02:00,28-05-2021 21:52,Visakhapatnam,134,ASSAULT,46,M,Blunt Object,Violent Crime,10,No,
12316,28-05-2021 19:00,05-28-2021 03:00,28-05-2021 06:43,Mumbai,498,FIREARM OFFENSE,13,F,Poison,Fire Accident,8,Yes,02-07-2021 19:00
12317,28-05-2021 22:00,05-28-2021 04:00,28-05-2021 09:59,Ahmedabad,389,ASSAULT,41,F,Other,Violent Crime,19,Yes,16-07-2021 22:00
12318,29-05-2021 04:00,05-28-2021 05:00,28-05-2021 11:53,Ahmedabad,253,KIDNAPPING,35,F,Explosives,Other Crime,3,Yes,08-06-2021 04:00
12319,29-05-2021 10:00,05-28-2021 06:00,28-05-2021 07:46,Bangalore,109,KIDNAPPING,65,M,Poison,Other Crime,16,No,
12320,30-05-2021 16:00,05-28-2021 07:00,28-05-2021 11:48,Delhi,166,SEXUAL ASSAULT,71,F,Explosives,Violent Crime,9,Yes,15-03-2022 16:00
12321,30-05-2021 04:00,05-28-2021 08:00,28-05-2021 08:24,Kanpur,371,BURGLARY,68,M,Explosives,Other Crime,5,Yes,15-10-2021 04:00
12322,30-05-2021 00:00,05-28-2021 09:00,28-05-2021 15:30,Bhopal,134,FRAUD,61,M,Poison,Other Crime,14,No,
12323,29-05-2021 23:00,05-28-2021 10:00,28-05-2021 14:36,Delhi,375,SEXUAL ASSAULT,31,M,Other,Violent Crime,10,Yes,03-05-2022 23:00
12324,29-05-2021 05:00,05-28-2021 11:00,29-05-2021 07:30,Ludhiana,580,BURGLARY,15,F,None,Other Crime,4,No,
12325,30-05-2021 09:00,05-28-2021 12:00,28-05-2021 19:28,Bangalore,376,VANDALISM,57,F,Other,Other Crime,2,Yes,07-06-2021 09:00
12326,31-05-2021 00:00,05-28-2021 13:00,29-05-2021 06:59,Jaipur,481,VEHICLE - STOLEN,73,F,Poison,Violent Crime,14,No,
12327,29-05-2021 09:00,05-28-2021 14:00,29-05-2021 12:59,Lucknow,581,ASSAULT,38,F,Other,Violent Crime,2,Yes,11-06-2021 09:00
12328,31-05-2021 11:00,05-28-2021 15:00,29-05-2021 14:06,Surat,561,EXTORTION,67,F,Firearm,Other Crime,18,Yes,24-06-2021 11:00
12329,29-05-2021 05:00,05-28-2021 16:00,29-05-2021 11:43,Lucknow,291,TRAFFIC VIOLATION,38,F,Explosives,Traffic Fatality,10,Yes,25-06-2021 05:00
12330,31-05-2021 10:00,05-28-2021 17:00,29-05-2021 16:39,Kanpur,268,ROBBERY,63,F,Other,Violent Crime,8,No,
12331,28-05-2021 20:00,05-28-2021 18:00,29-05-2021 05:46,Surat,376,DOMESTIC VIOLENCE,35,M,Blunt Object,Violent Crime,14,No,
12332,30-05-2021 03:00,05-28-2021 19:00,29-05-2021 08:16,Surat,138,FRAUD,31,M,Poison,Other Crime,14,Yes,05-08-2021 03:00
12333,30-05-2021 23:00,05-28-2021 20:00,28-05-2021 21:58,Jaipur,597,SHOPLIFTING,64,M,None,Other Crime,3,Yes,21-06-2021 23:00
12334,29-05-2021 11:00,05-28-2021 21:00,29-05-2021 06:18,Mumbai,155,FIREARM OFFENSE,68,M,None,Fire Accident,16,Yes,17-07-2021 11:00
12335,31-05-2021 09:00,05-28-2021 22:00,29-05-2021 18:33,Hyderabad,209,FIREARM OFFENSE,54,M,Poison,Fire Accident,4,No,
